interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
IFN-stimulated T Cells|pDCs|SELPLG|SELL,IFN-stimulated T Cells,pDCs,SELPLG,SELL,14,-0.05369987604992134,-0.5681005901657168,0.4908736319552418,0.8553289983044713,0.9620776154662797
cDCs|Non-classical Monocytes|CD1D|LILRB2,cDCs,Non-classical Monocytes,CD1D,LILRB2,30,0.03469616297986141,-0.32970040187576416,0.39009516169218666,0.8555684401626781,0.9620776154662797
Classical Monocytes|pDCs|NRG1|HLA-DPB1,Classical Monocytes,pDCs,NRG1,HLA-DPB1,13,0.056113400809725905,-0.5106687420723715,0.5888989939040464,0.8555236147062716,0.9620776154662797
CD4 T Cells|IFN-stimulated T Cells|ARF6|SMAP1,CD4 T Cells,IFN-stimulated T Cells,ARF6,SMAP1,18,-0.04627448133827476,-0.5022998857899962,0.4298904354607886,0.8553251031537464,0.9620776154662797
cDCs|IFN-stimulated T Cells|CD14|ITGB2,cDCs,IFN-stimulated T Cells,CD14,ITGB2,23,0.040256954930773095,-0.3782283306704028,0.44508003627636716,0.8552904768267742,0.9620776154662797
pDCs|pDCs|PSEN1|NCSTN,pDCs,pDCs,PSEN1,NCSTN,12,0.05914320412265928,-0.5328530175192715,0.6122706570374612,0.8551289564634951,0.9620776154662797
Plasma Cells|pDCs|PTDSS1|JMJD6,Plasma Cells,pDCs,PTDSS1,JMJD6,6,0.09677419354838712,-0.7757182194941882,0.8421973385591817,0.8552918666711422,0.9620776154662797
cDCs|CD8 T Cells|THBS1|CD47,cDCs,CD8 T Cells,THBS1,CD47,12,0.05921411453740407,-0.5328020604817143,0.6123151387337998,0.8549568821140645,0.9620776154662797
pDCs|Non-classical Monocytes|F11R|ITGAL_ITGB2,pDCs,Non-classical Monocytes,F11R,ITGAL_ITGB2,10,-0.06667506667510001,-0.6682555961666369,0.5876286428096272,0.8547949571738613,0.9620776154662797
CD8 T Cells|cDCs|PTPN6|CLEC12A,CD8 T Cells,cDCs,PTPN6,CLEC12A,30,-0.034643739258490305,-0.3900506611105589,0.32974718243706397,0.8557844033447178,0.9622127562591684
Classical Monocytes|NK Cells|HLA-A|KIR3DL2,Classical Monocytes,NK Cells,HLA-A,KIR3DL2,8,-0.07319250547113999,-0.739720694042082,0.6658303081127546,0.863253392920131,0.9623555667799186
Plasma Cells|CD8 T Cells|SPON2|ITGB2,Plasma Cells,CD8 T Cells,SPON2,ITGB2,12,0.05845024291948604,-0.533350761505915,0.6118357820700283,0.856810830678767,0.9623555667799186
Classical Monocytes|NK Cells|HSPA8|ADRB2,Classical Monocytes,NK Cells,HSPA8,ADRB2,15,-0.046071025019991094,-0.5454680402530278,0.47746813041690594,0.8704887333300213,0.9623555667799186
IFN-stimulated T Cells|cDCs|CCL5|CXCR3,IFN-stimulated T Cells,cDCs,CCL5,CXCR3,5,0.10259783520851541,-0.857273993811393,0.9031201838974415,0.8695979205185651,0.9623555667799186
pDCs|pDCs|HLA-C|CD8B,pDCs,pDCs,HLA-C,CD8B,6,-0.08571428571428573,-0.8389245507212943,0.7801216996152184,0.8717434402332361,0.9623555667799186
Non-classical Monocytes|Classical Monocytes|SELPLG|SELL,Non-classical Monocytes,Classical Monocytes,SELPLG,SELL,31,0.03287013772510759,-0.3252644200147497,0.38275807134308737,0.860655674983594,0.9623555667799186
IFN-stimulated T Cells|cDCs|HLA-C|CD8B,IFN-stimulated T Cells,cDCs,HLA-C,CD8B,12,0.05387950499014081,-0.5366236219736981,0.6089589629769773,0.8679177943584471,0.9623555667799186
Plasma Cells|CD8 T Cells|HMGB1|CXCR4,Plasma Cells,CD8 T Cells,HMGB1,CXCR4,16,-0.043653713430529734,-0.5279420658158259,0.46205794952996465,0.8724668978892022,0.9623555667799186
Non-classical Monocytes|Classical Monocytes|ICAM2|ITGAM_ITGB2,Non-classical Monocytes,Classical Monocytes,ICAM2,ITGAM_ITGB2,31,0.033554170678046766,-0.32465194386786034,0.3833423823798175,0.8577848813335033,0.9623555667799186
Plasma Cells|Classical Monocytes|CALM1|INSR,Plasma Cells,Classical Monocytes,CALM1,INSR,5,-0.11180339887498947,-0.9048228252147037,0.8547855893576756,0.8579446176050994,0.9623555667799186
cDCs|pDCs|HLA-E|CD8B,cDCs,pDCs,HLA-E,CD8B,6,-0.08571428571428573,-0.8389245507212943,0.7801216996152184,0.8717434402332361,0.9623555667799186
