cluster,assigned_cell_type,marker,n_cells,mean_expression,fraction_expressing
8,B Cells,CD37,3126,2.6722530057738396,0.9753678822776711
8,B Cells,NKG7,3126,0.2132360341548157,0.1417146513115803
8,B Cells,GNLY,3126,0.2512305150772621,0.1657069737683941
8,B Cells,KLRD1,3126,0.015666565716609845,0.010876519513755598
8,B Cells,LYZ,3126,0.48893562580863403,0.30454254638515676
8,B Cells,LST1,3126,0.2126512256136935,0.14651311580294304
8,B Cells,FCGR3A,3126,0.027424358465468663,0.02015355086372361
8,B Cells,S100A8,3126,0.40778997231582303,0.2581573896353167
8,B Cells,S100A9,3126,0.4462807859965646,0.2770313499680102
8,B Cells,FCER1A,3126,0.005333518856088854,0.003838771593090211
8,B Cells,CD1C,3126,0.13484270619949468,0.0927703134996801
8,B Cells,GZMB,3126,0.05436138781079557,0.03902751119641715
8,B Cells,TCF4,3126,0.34189312234377905,0.23000639795265515
8,B Cells,PLD4,3126,0.17172313735642192,0.1164427383237364
8,B Cells,IGJ,3126,0.8189840035337862,0.3963531669865643
8,B Cells,MZB1,3126,0.24534376486134848,0.1653870761356366
8,B Cells,IGLL5,3126,1.3091137092596281,0.5121561100447857
8,B Cells,ISG15,3126,0.2905285168327129,0.18969929622520793
8,B Cells,IFIT1,3126,0.012447779710980768,0.009596928982725527
8,B Cells,HBA1,3126,0.16725070268316142,0.10236724248240563
8,B Cells,HBA2,3126,0.3232538794105967,0.16122840690978887
8,B Cells,HBB,3126,0.46226828026222405,0.22040946896992963
8,B Cells,ALAS2,3126,0.010436065652320114,0.007037747920665387
8,B Cells,PPBP,3126,0.0412272956229446,0.026231605886116442
8,B Cells,PF4,3126,0.024255362425716884,0.01471529110684581
8,B Cells,TUBB1,3126,0.018170412503521333,0.011516314779270634
8,B Cells,LTB,3126,2.529297239587464,0.9206653870761357
8,B Cells,JUNB,3126,3.268991081629208,0.9779270633397313
9,RBCs,CD3D,1093,0.2087394731751518,0.14089661482159194
9,RBCs,CD3E,1093,0.18975164621986607,0.12351326623970722
9,RBCs,IL7R,1093,0.10405971621114621,0.07593778591033852
9,RBCs,CCR7,1093,0.040459967897446575,0.035681610247026534
9,RBCs,TCF7,1093,0.058282160093668725,0.0484903934126258
9,RBCs,CD4,1093,0.019318514751493657,0.0192131747483989
9,RBCs,CD8A,1093,0.05832682485877104,0.04574565416285453
9,RBCs,CD8B,1093,0.06168570378343664,0.043000914913083256
9,RBCs,MS4A1,1093,0.005210830411666703,0.004574565416285453
9,RBCs,CD79A,1093,0.013122886937360424,0.012808783165599268
9,RBCs,CD37,1093,0.16116856277152583,0.1354071363220494
9,RBCs,NKG7,1093,0.2934635740731249,0.19213174748398903
9,RBCs,GNLY,1093,0.17281088219360813,0.13174748398902103
9,RBCs,KLRD1,1093,0.02893977588398786,0.023787740164684355
9,RBCs,LYZ,1093,0.31331659863001693,0.2698993595608417
9,RBCs,LST1,1093,0.11281950538679753,0.10521500457456541
9,RBCs,FCGR3A,1093,0.06492963757737448,0.0585544373284538
9,RBCs,S100A8,1093,0.3265760890791859,0.2753888380603843
9,RBCs,S100A9,1093,0.32976176574049143,0.27264409881061297
9,RBCs,FCER1A,1093,0.0021314935082159016,0.0027447392497712718
9,RBCs,CD1C,1093,0.0025886431377302693,0.0027447392497712718
9,RBCs,GZMB,1093,0.0832178906792364,0.059469350411710885
9,RBCs,TCF4,1093,0.004053599334919224,0.004574565416285453
9,RBCs,PLD4,1093,0.0013350633885592141,0.0018298261665141812
9,RBCs,IGJ,1093,0.08801897419556934,0.08600182982616651
9,RBCs,MZB1,1093,0.009982934536894635,0.010064043915827997
9,RBCs,IGLL5,1093,0.05908707127806689,0.053064958828911254
9,RBCs,ISG15,1093,0.25461668899489015,0.17932296431838976
9,RBCs,IFIT1,1093,0.013941571348212993,0.012808783165599268
9,RBCs,HBA1,1093,7.290734984301038,0.9963403476669717
9,RBCs,HBA2,1093,7.738260270037568,0.9981701738334858
9,RBCs,HBB,1093,8.26726908609612,0.9981701738334858
9,RBCs,ALAS2,1093,2.9191610212186445,0.9322964318389753
9,RBCs,PPBP,1093,0.044051179728809016,0.04117108874656908
9,RBCs,PF4,1093,0.02262958483421137,0.0192131747483989
9,RBCs,TUBB1,1093,0.022436596719038564,0.021043000914913082
