group,names,scores,logfoldchanges,pvals,pvals_adj
9,FAM210B,38.66156,5.7237673,0.0,0.0
9,MPP1,37.313187,5.253695,1.0030855916264539e-304,8.899790438809882e-303
9,GUK1,37.14322,2.4076488,5.640923115176962e-302,4.970580539503536e-300
9,GMPR,36.335506,6.7340994,4.4515944716170635e-289,3.869578572794157e-287
9,BPGM,34.96883,5.5959425,6.700896354827115e-268,5.354474012723654e-266
10,GPX1,53.921425,4.0607443,0.0,0.0
10,H3F3A,48.543385,2.0685024,0.0,0.0
10,OAZ1,48.148956,2.1500473,0.0,0.0
10,NRGN,46.416954,6.2312636,0.0,0.0
10,PPBP,46.388836,8.666359,0.0,0.0
10,FTH1,45.52379,1.7599454,0.0,0.0
10,PF4,44.83537,8.592246,0.0,0.0
10,GNG11,44.61448,8.14755,0.0,0.0
10,SAT1,43.95989,2.7361867,0.0,0.0
10,SDPR,43.89402,8.601821,0.0,0.0
10,TUBB1,41.45067,8.771625,0.0,0.0
10,HIST1H2AC,40.91031,6.1818323,0.0,0.0
10,SRGN,40.256615,2.19122,0.0,0.0
10,RGS18,40.047962,5.8707995,0.0,0.0
10,FTL,39.744095,1.8105745,0.0,0.0
10,SH3BGRL3,38.918953,1.706555,0.0,0.0
10,ACTB,38.55645,1.4278934,0.0,0.0
10,CLU,37.554436,5.995308,1.192480311115492e-308,4.648866425000244e-306
10,CST3,37.426517,3.104617,1.447809590636635e-306,5.321734395297232e-304
10,NCOA4,37.342335,3.6272383,3.376442497418148e-305,1.1739981818725534e-302
11,MZB1,62.437252,8.941259,0.0,0.0
11,IGJ,62.06508,9.457808,0.0,0.0
11,PPIB,61.307087,4.3196683,0.0,0.0
11,HSP90B1,61.142666,4.990078,0.0,0.0
11,ITM2C,59.689384,6.3802996,0.0,0.0
11,SUB1,59.232452,3.5340805,0.0,0.0
11,IGLL5,58.750282,7.475504,0.0,0.0
11,SSR4,58.271492,3.391905,0.0,0.0
11,SEC11C,58.19717,5.312791,0.0,0.0
11,SPCS2,58.130943,3.7950704,0.0,0.0
11,PDIA4,58.089413,4.956069,0.0,0.0
11,XBP1,57.592987,4.396519,0.0,0.0
11,C19orf10,57.56235,4.618215,0.0,0.0
11,FKBP11,56.852455,4.723713,0.0,0.0
11,UBE2J1,56.628925,4.449823,0.0,0.0
11,SSR3,56.380154,4.295384,0.0,0.0
11,DERL3,56.125263,7.5959244,0.0,0.0
11,CD38,55.96403,5.9747972,0.0,0.0
11,SEC61B,55.20221,3.2998211,0.0,0.0
11,PDIA6,54.795624,4.007645,0.0,0.0
12,ISG15,49.268368,3.6886377,0.0,0.0
12,IFI6,49.08396,3.7104557,0.0,0.0
12,IFI44L,43.042103,3.1895049,0.0,0.0
12,MX1,39.9177,3.4278572,0.0,0.0
12,LY6E,38.813747,2.1161625,0.0,0.0
12,IFITM1,38.623066,2.396366,0.0,0.0
12,MT2A,36.92656,2.6134539,1.732313281574211e-298,3.1837443382074604e-295
12,ISG20,36.754383,2.257698,9.894816145047293e-296,1.591210121325418e-292
12,STAT1,31.34435,2.695028,1.16158945402068e-215,1.6604275917751163e-212
12,USP18,30.913586,3.848263,7.845487816748911e-210,1.0093220076247474e-206
12,IFIT3,29.625757,3.8478563,6.962899951933796e-193,8.143427989238935e-190
12,XAF1,29.552263,2.522733,6.141844820294399e-192,6.584569467757286e-189
12,IRF7,29.214378,2.4530358,1.273583413217402e-187,1.2603577393109137e-184
12,EIF2AK2,29.154184,2.6844325,7.393738643303613e-187,6.794317689007212e-184
12,EPSTI1,27.956356,1.9355938,5.517928457290624e-172,4.7325433068695915e-169
