sample,cluster,assigned_cell_type,excluded,n_cells
GSM4029918_JB18065,11,Plasma Cells,False,20
GSM4029918_JB18065,12,IFN-stimulated T Cells,False,1
GSM4029918_JB18065,13,pDCs,False,6
GSM4029918_JB18065,2,Classical Monocytes,False,453
GSM4029918_JB18065,3,B Cells,False,249
GSM4029918_JB18065,4,CD4 T Cells,False,870
GSM4029918_JB18065,5,CD8 T Cells,False,569
GSM4029918_JB18065,6,NK Cells,False,300
GSM4029918_JB18065,7,Non-classical Monocytes,False,148
GSM4029918_JB18065,8,cDCs,False,49
GSM4029918_JB18065,9,RBCs,True,8
GSM4029919_JB18066,0,Ribosomal/Low-quality,True,379
GSM4029919_JB18066,1,Ribosomal/Low-quality,True,279
GSM4029919_JB18066,10,Platelets,True,29
GSM4029919_JB18066,11,Plasma Cells,False,14
GSM4029919_JB18066,12,IFN-stimulated T Cells,False,33
GSM4029919_JB18066,13,pDCs,False,1
GSM4029919_JB18066,2,Classical Monocytes,False,443
GSM4029919_JB18066,3,B Cells,False,398
GSM4029919_JB18066,4,CD4 T Cells,False,308
GSM4029919_JB18066,5,CD8 T Cells,False,514
GSM4029919_JB18066,6,NK Cells,False,148
GSM4029919_JB18066,7,Non-classical Monocytes,False,132
GSM4029919_JB18066,8,cDCs,False,9
GSM4029919_JB18066,9,RBCs,True,49
GSM4029920_JB18067,0,Ribosomal/Low-quality,True,1683
GSM4029920_JB18067,1,Ribosomal/Low-quality,True,964
GSM4029920_JB18067,10,Platelets,True,15
GSM4029920_JB18067,11,Plasma Cells,False,2
GSM4029920_JB18067,12,IFN-stimulated T Cells,False,26
GSM4029920_JB18067,13,pDCs,False,16
GSM4029920_JB18067,2,Classical Monocytes,False,709
GSM4029920_JB18067,3,B Cells,False,325
GSM4029920_JB18067,4,CD4 T Cells,False,525
GSM4029920_JB18067,5,CD8 T Cells,False,206
GSM4029920_JB18067,6,NK Cells,False,162
GSM4029920_JB18067,7,Non-classical Monocytes,False,152
GSM4029920_JB18067,8,cDCs,False,37
GSM4029920_JB18067,9,RBCs,True,109
GSM4029921_JB18068,0,Ribosomal/Low-quality,True,696
GSM4029921_JB18068,1,Ribosomal/Low-quality,True,431
GSM4029921_JB18068,10,Platelets,True,54
GSM4029921_JB18068,11,Plasma Cells,False,84
GSM4029921_JB18068,12,IFN-stimulated T Cells,False,29
GSM4029921_JB18068,13,pDCs,False,8
GSM4029921_JB18068,2,Classical Monocytes,False,514
GSM4029921_JB18068,3,B Cells,False,408
GSM4029921_JB18068,4,CD4 T Cells,False,325
GSM4029921_JB18068,5,CD8 T Cells,False,543
GSM4029921_JB18068,6,NK Cells,False,184
GSM4029921_JB18068,7,Non-classical Monocytes,False,229
GSM4029921_JB18068,8,cDCs,False,21
GSM4029921_JB18068,9,RBCs,True,78
GSM4029922_JB18069,0,Ribosomal/Low-quality,True,1553
GSM4029922_JB18069,1,Ribosomal/Low-quality,True,1156
GSM4029922_JB18069,10,Platelets,True,17
GSM4029922_JB18069,11,Plasma Cells,False,6
GSM4029922_JB18069,12,IFN-stimulated T Cells,False,16
GSM4029922_JB18069,13,pDCs,False,10
GSM4029922_JB18069,2,Classical Monocytes,False,526
GSM4029922_JB18069,3,B Cells,False,453
GSM4029922_JB18069,4,CD4 T Cells,False,868
GSM4029922_JB18069,5,CD8 T Cells,False,373
GSM4029922_JB18069,6,NK Cells,False,662
GSM4029922_JB18069,7,Non-classical Monocytes,False,228
GSM4029922_JB18069,8,cDCs,False,41
GSM4029922_JB18069,9,RBCs,True,2
GSM4029923_JB18070,0,Ribosomal/Low-quality,True,913
GSM4029923_JB18070,1,Ribosomal/Low-quality,True,958
GSM4029923_JB18070,10,Platelets,True,27
GSM4029923_JB18070,11,Plasma Cells,False,12
GSM4029923_JB18070,12,IFN-stimulated T Cells,False,7
GSM4029923_JB18070,13,pDCs,False,24
GSM4029923_JB18070,2,Classical Monocytes,False,594
GSM4029923_JB18070,3,B Cells,False,477
GSM4029923_JB18070,4,CD4 T Cells,False,566
GSM4029923_JB18070,5,CD8 T Cells,False,765
GSM4029923_JB18070,6,NK Cells,False,673
GSM4029923_JB18070,7,Non-classical Monocytes,False,243
GSM4029923_JB18070,8,cDCs,False,49
GSM4029923_JB18070,9,RBCs,True,38
GSM4029924_JB18071,0,Ribosomal/Low-quality,True,911
GSM4029924_JB18071,1,Ribosomal/Low-quality,True,781
GSM4029924_JB18071,10,Platelets,True,11
GSM4029924_JB18071,11,Plasma Cells,False,42
GSM4029924_JB18071,12,IFN-stimulated T Cells,False,44
GSM4029924_JB18071,13,pDCs,False,5
GSM4029924_JB18071,2,Classical Monocytes,False,476
GSM4029924_JB18071,3,B Cells,False,1055
GSM4029924_JB18071,4,CD4 T Cells,False,463
GSM4029924_JB18071,5,CD8 T Cells,False,913
GSM4029924_JB18071,6,NK Cells,False,475
GSM4029924_JB18071,7,Non-classical Monocytes,False,240
GSM4029924_JB18071,8,cDCs,False,14
GSM4029924_JB18071,9,RBCs,True,3
GSM4029925_JB18072,0,Ribosomal/Low-quality,True,670
GSM4029925_JB18072,1,Ribosomal/Low-quality,True,551
