sample,cell_type,n_cells,proportion_within_sample
GSM4029927_JB18074,IFN-stimulated T Cells,53,0.01342451874366768
GSM4029927_JB18074,NK Cells,289,0.0732016210739615
GSM4029927_JB18074,Non-classical Monocytes,298,0.07548125633232017
GSM4029927_JB18074,Plasma Cells,171,0.04331306990881459
GSM4029927_JB18074,cDCs,41,0.01038500506585613
GSM4029927_JB18074,pDCs,18,0.004559270516717325
GSM4029928_JB18075,B Cells,159,0.04542857142857143
GSM4029928_JB18075,CD4 T Cells,333,0.09514285714285714
GSM4029928_JB18075,CD8 T Cells,560,0.16
GSM4029928_JB18075,Classical Monocytes,1579,0.4511428571428571
GSM4029928_JB18075,IFN-stimulated T Cells,14,0.004
GSM4029928_JB18075,NK Cells,230,0.06571428571428571
GSM4029928_JB18075,Non-classical Monocytes,548,0.15657142857142858
GSM4029928_JB18075,Plasma Cells,5,0.0014285714285714286
GSM4029928_JB18075,cDCs,59,0.01685714285714286
GSM4029928_JB18075,pDCs,13,0.0037142857142857142
GSM4029929_JB18076,B Cells,150,0.04978426817125788
GSM4029929_JB18076,CD4 T Cells,607,0.20146033853302356
GSM4029929_JB18076,CD8 T Cells,1374,0.4560238964487222
GSM4029929_JB18076,Classical Monocytes,389,0.12910720212412877
GSM4029929_JB18076,IFN-stimulated T Cells,14,0.004646531695984069
GSM4029929_JB18076,NK Cells,298,0.09890474610023232
GSM4029929_JB18076,Non-classical Monocytes,114,0.03783604381015599
GSM4029929_JB18076,Plasma Cells,15,0.004978426817125788
GSM4029929_JB18076,cDCs,32,0.010620643876535016
GSM4029929_JB18076,pDCs,20,0.006637902422834384
GSM4029930_JB18077,B Cells,943,0.30438992898644285
GSM4029930_JB18077,CD4 T Cells,938,0.30277598450613297
GSM4029930_JB18077,CD8 T Cells,524,0.16914138153647515
GSM4029930_JB18077,Classical Monocytes,249,0.08037443511943189
GSM4029930_JB18077,IFN-stimulated T Cells,6,0.001936733376371853
GSM4029930_JB18077,NK Cells,238,0.07682375726275016
GSM4029930_JB18077,Non-classical Monocytes,118,0.03808908973531311
GSM4029930_JB18077,Plasma Cells,26,0.008392511297611363
GSM4029930_JB18077,cDCs,41,0.013234344738540994
GSM4029930_JB18077,pDCs,15,0.004841833440929632
GSM4029931_JB18078,B Cells,806,0.28744650499286734
GSM4029931_JB18078,CD4 T Cells,626,0.22325249643366618
GSM4029931_JB18078,CD8 T Cells,298,0.10627674750356633
GSM4029931_JB18078,Classical Monocytes,298,0.10627674750356633
GSM4029931_JB18078,IFN-stimulated T Cells,15,0.005349500713266762
GSM4029931_JB18078,NK Cells,427,0.1522824536376605
GSM4029931_JB18078,Non-classical Monocytes,213,0.07596291012838802
GSM4029931_JB18078,Plasma Cells,17,0.006062767475035664
GSM4029931_JB18078,cDCs,69,0.024607703281027102
GSM4029931_JB18078,pDCs,35,0.012482168330955777
GSM4029932_JB18079,B Cells,607,0.18827543424317617
GSM4029932_JB18079,CD4 T Cells,887,0.27512406947890816
GSM4029932_JB18079,CD8 T Cells,263,0.081575682382134
GSM4029932_JB18079,Classical Monocytes,536,0.1662531017369727
GSM4029932_JB18079,IFN-stimulated T Cells,1,0.00031017369727047146
GSM4029932_JB18079,NK Cells,526,0.163151364764268
GSM4029932_JB18079,Non-classical Monocytes,306,0.09491315136476426
GSM4029932_JB18079,Plasma Cells,24,0.007444168734491315
GSM4029932_JB18079,cDCs,60,0.018610421836228287
GSM4029932_JB18079,pDCs,14,0.004342431761786601
GSM4029933_JB18080,B Cells,246,0.12576687116564417
GSM4029933_JB18080,CD4 T Cells,542,0.2770961145194274
GSM4029933_JB18080,CD8 T Cells,233,0.11912065439672802
GSM4029933_JB18080,Classical Monocytes,454,0.23210633946830267
GSM4029933_JB18080,IFN-stimulated T Cells,75,0.03834355828220859
GSM4029933_JB18080,NK Cells,248,0.12678936605316973
GSM4029933_JB18080,Non-classical Monocytes,120,0.06134969325153374
GSM4029933_JB18080,Plasma Cells,9,0.004601226993865031
GSM4029933_JB18080,cDCs,19,0.009713701431492843
GSM4029933_JB18080,pDCs,10,0.005112474437627812
GSM4029934_JB18081,B Cells,834,0.17142857142857143
GSM4029934_JB18081,CD4 T Cells,813,0.1671120246659815
GSM4029934_JB18081,CD8 T Cells,1626,0.334224049331963
GSM4029934_JB18081,Classical Monocytes,640,0.131551901336074
GSM4029934_JB18081,IFN-stimulated T Cells,3,0.0006166495375128469
GSM4029934_JB18081,NK Cells,462,0.09496402877697842
GSM4029934_JB18081,Non-classical Monocytes,414,0.08509763617677286
GSM4029934_JB18081,Plasma Cells,7,0.0014388489208633094
GSM4029934_JB18081,cDCs,30,0.006166495375128468
GSM4029934_JB18081,pDCs,36,0.0073997944501541625
GSM4029935_JB18082,B Cells,1006,0.23185065683337175
GSM4029935_JB18082,CD4 T Cells,933,0.2150265038027195
GSM4029935_JB18082,CD8 T Cells,1197,0.2758700161327495
GSM4029935_JB18082,Classical Monocytes,528,0.12168702466005993
