group,names,scores,logfoldchanges,pvals,pvals_adj
10,SEC61B,28.666958,3.1232646,9.854329446578457e-181,4.45941255222497e-177
10,TXN,28.588406,3.205777,9.363886525957532e-180,3.178103086909987e-176
10,PLD4,28.507338,7.6170936,9.501208022923997e-179,2.5797680023843235e-175
10,IGJ,28.158981,6.046267,1.860373570122048e-174,4.2094052646628205e-171
10,TCF4,27.807898,6.378282,3.481521166593637e-170,5.908141419709402e-167
10,LILRA4,27.673788,10.550602,1.4440684336333653e-168,2.178297006111841e-165
10,IRF8,27.439552,5.6235356,9.258021354662858e-166,1.2568689791090296e-162
10,IRF7,26.855719,4.582602,7.232256963120899e-159,8.182093377610777e-156
10,NPC2,26.726858,3.306865,2.2945406892756107e-157,2.3962064921235146e-154
10,HLA-DRA,26.463179,3.6638439,2.5734392295504717e-154,2.4955007843126576e-151
10,PPP1R14B,26.313713,6.168386,1.336241546363348e-152,1.2093876822285876e-149
10,APP,26.30585,4.7313676,1.643906626034662e-152,1.3948547721904108e-149
10,STMN1,26.257244,4.093067,5.908082074293466e-152,4.7181248376828284e-149
10,MZB1,26.142551,6.180417,1.1977521973350052e-150,9.033713239455573e-148
10,TAGLN2,26.123663,2.2184188,1.963595358581511e-150,1.4030405572685576e-147
10,SERPINF1,26.028336,8.246795,2.3669204858299196e-149,1.6066656257813494e-146
10,PLAC8,25.941257,2.9775083,2.2820344663801328e-148,1.4752809483607945e-145
10,HLA-DPB1,25.582973,2.895138,2.3601933847686545e-144,1.3931297996356198e-141
11,PPBP,29.389177,10.680163,7.551367281242229e-190,1.025173622101445e-185
11,SDPR,29.00696,10.112509,5.375582053618154e-185,3.648945097996003e-181
11,GNG11,28.690601,9.924618,4.997997422785498e-181,2.2617604337245307e-177
11,PF4,28.578669,10.55143,1.2372736787442783e-179,4.199306865658081e-176
11,NRGN,28.39407,8.025784,2.3934633090297185e-177,6.498731576677491e-174
11,TUBB1,28.096222,10.095605,1.089460635531642e-173,2.4650862646629282e-170
11,HIST1H2AC,27.412067,8.431654,1.9694112071407692e-165,3.8195323640204407e-162
11,CLU,26.921482,8.807764,1.231020822495072e-159,2.0890423357741372e-156
11,TAGLN2,26.198116,3.696718,2.7920181323319825e-151,4.211604240504332e-148
11,GPX1,26.187925,4.918463,3.647708311346556e-151,4.952128803484084e-148
11,SPARC,25.568558,9.170186,3.414335863357403e-144,4.2139112437218274e-141
11,OST4,24.853102,2.7227952,2.3937745628117857e-136,2.7081569553944e-133
11,MAP3K7CL,24.512514,7.43415,1.0864577249577637e-132,1.1345961595405077e-129
11,NCOA4,24.44239,5.253023,6.063147137739656e-132,5.879520395853827e-129
11,TUBA4A,24.432741,4.657091,7.678680483350167e-132,6.949717749464124e-129
11,RGS10,24.001894,3.981946,2.6570357600626083e-127,2.198004107166651e-124
11,RGS18,24.000427,7.3696103,2.7523622438003146e-127,2.198004107166651e-124
11,OAZ1,23.784449,2.7572248,4.838368268711344e-125,3.6492048675569557e-122
11,CALM3,23.693682,3.4559965,4.189111954560868e-124,2.9932307313220182e-121
11,ACRBP,23.64205,9.306784,1.4249257677059953e-123,9.672396111188296e-121
12,MZB1,25.752192,9.907022,3.046292070466993e-146,4.13564611486599e-142
12,IGJ,25.488293,10.72826,2.658056158897136e-143,1.804288520659376e-139
12,HSP90B1,25.301182,4.865204,3.0999330767764297e-141,1.4028230483438936e-137
12,PPIB,25.103083,4.4873567,4.6025037973485586e-139,1.562089788820101e-135
12,ITM2C,24.663134,7.046989,2.6607139233689755e-134,7.224370444731442e-131
12,SUB1,24.547174,3.464914,4.636183926691923e-133,1.0490138831461591e-129
12,SEC11C,24.34789,5.3607597,6.103426746314149e-131,1.1837160215422983e-127
12,TNFRSF17,24.00473,10.510692,2.4818693268863614e-127,4.211732247726155e-124
12,IGLL5,23.892384,8.302039,3.675266015324507e-126,5.543934602671723e-123
12,SSR4,23.81059,3.5662534,2.594369985608764e-125,3.522116692462458e-122
12,PDIA4,23.770887,5.035005,6.682994903036608e-125,8.248030800329544e-122
12,UBE2J1,23.699562,4.682149,3.643412243112755e-124,4.1219137177082296e-121
12,FKBP11,23.629097,4.6247263,1.936354123900327e-123,2.022149506620834e-120
12,DERL3,23.538015,8.64889,1.6654252518601168e-122,1.6149866585180676e-119
12,C19orf10,23.185019,4.4688745,6.448976550588556e-119,5.836753710052683e-116
12,SPCS2,23.096132,3.6229131,5.063520844932229e-118,4.296397436924996e-115
12,ISG20,22.722647,3.602836,2.675919110784246e-114,2.1369575204709953e-111
12,XBP1,22.562962,3.9291155,1.0018674455344752e-112,7.55630691143113e-110
12,HSPA5,22.52595,3.55941,2.3115333098318398e-112,1.6516513796987926e-109
12,SEC61B,22.324415,3.1627893,2.1406740585389352e-110,1.453089550936229e-107
