interaction_id,source,target,ligand_complex,receptor_complex,interaction_coef,interaction_ci95_low,interaction_ci95_high,n_observations,interaction_p_value,fdr_q_value,n_cHD,mean_cHD,n_cSLE,mean_cSLE,n_aHD,mean_aHD,n_aSLE,mean_aSLE
B Cells|pDCs|LGALS1|PTPRC,B Cells,pDCs,LGALS1,PTPRC,0.01636903682456614,-0.21976993636636663,0.25250801001549894,40,0.8919290056602938,0.969965258587424,8,0.3926581470722454,21,0.22017543195125006,5,0.40284438817034574,6,0.2139926362247843
Non-classical Monocytes|CD8 T Cells|APP|PTGER2,Non-classical Monocytes,CD8 T Cells,APP,PTGER2,0.029644207969826003,-0.39949454370257964,0.4587829596422316,43,0.8923026377987133,0.969965258587424,5,0.43588431146836343,27,0.22435616416499957,5,0.26786727426862095,6,0.026694918995431083
Non-classical Monocytes|Non-classical Monocytes|SELPLG|SELL,Non-classical Monocytes,Non-classical Monocytes,SELPLG,SELL,-0.015909856753966667,-0.2474222521473848,0.21560253863945147,52,0.8928558129778117,0.9701221814085839,10,0.22603373686745803,30,0.2276306367936514,5,0.23411067877669217,7,0.25161743545685217
pDCs|Classical Monocytes|LGALS9|CD47,pDCs,Classical Monocytes,LGALS9,CD47,0.01396253506152656,-0.19140705099574795,0.21933212111880107,41,0.8939934798823539,0.9707032380333329,9,0.022525637233017076,20,0.22695080713922083,5,0.006206560309558795,7,0.196669195154236
Classical Monocytes|CD4 T Cells|MIF|TNFRSF14,Classical Monocytes,CD4 T Cells,MIF,TNFRSF14,-0.01711099163350717,-0.27087121967571887,0.23664923640870456,52,0.8948578149545948,0.9707032380333329,10,0.36268132497934963,30,0.38747430169309066,5,0.11815988254684577,7,0.16006385089409397
pDCs|CD8 T Cells|SELPLG|ITGB2,pDCs,CD8 T Cells,SELPLG,ITGB2,-0.02278144289334716,-0.3611830335292127,0.3156201477425184,42,0.8950268372595586,0.9707032380333329,9,0.29086718010284224,21,0.2705404708491637,5,0.2564147677295218,7,0.25886950136919046
Non-classical Monocytes|CD4 T Cells|HLA-DQA1|CD4,Non-classical Monocytes,CD4 T Cells,HLA-DQA1,CD4,-0.018725586085246992,-0.29635737841644894,0.25890620624595495,50,0.8948302281109485,0.9707032380333329,10,0.2515675701597176,28,0.19082216404428795,5,0.37360885941103794,7,0.33158903938085527
NK Cells|Classical Monocytes|MIF|TNFRSF14,NK Cells,Classical Monocytes,MIF,TNFRSF14,-0.020509635881321264,-0.33567184644381515,0.2946525746811726,52,0.8985070916025593,0.9727777817805956,10,0.3692800150767968,30,0.3690953617625052,5,0.30203465999551565,7,0.3223596425625453
B Cells|CD4 T Cells|MIF|CD74_CXCR4,B Cells,CD4 T Cells,MIF,CD74_CXCR4,-0.02014223068613935,-0.32665722271882214,0.28637276134654344,52,0.8975187046393533,0.9727777817805956,10,0.36790918984907217,30,0.45549019859626694,5,0.3147855920399956,7,0.42250883147332974
Non-classical Monocytes|NK Cells|MIF|CD74_CXCR4,Non-classical Monocytes,NK Cells,MIF,CD74_CXCR4,0.021378730822909753,-0.3059259243192873,0.3486833859651068,52,0.8981331443607077,0.9727777817805956,10,0.4064590825409747,30,0.5053335057538771,5,0.4905400346214807,7,0.5680357270114734
