cohort,review_group,label,gene,cells,fraction_detected,mean_log_expression
child,other,pDCs,LYZ,803,0.50186799501868,0.6624229
child,other,pDCs,LST1,803,0.44582814445828145,0.5466682
child,other,pDCs,FCN1,803,0.16936488169364883,0.1612695
child,other,pDCs,S100A8,803,0.47322540473225405,0.6132342
child,other,pDCs,S100A9,803,0.523038605230386,0.7356677
child,other,pDCs,PPBP,803,0.10834371108343711,0.16492756
child,other,pDCs,PF4,803,0.0921544209215442,0.13832065
child,other,pDCs,HBA1,803,0.18181818181818182,0.25587198
child,restored,CD4 T Cells,CD3D,44396,1.0,2.0552056
child,restored,CD4 T Cells,CD3E,44396,1.0,2.0205994
child,restored,CD4 T Cells,CD4,44396,0.1584151725380665,0.21521087
child,restored,CD4 T Cells,IL7R,44396,0.7466888908910713,1.4678196
child,restored,CD4 T Cells,CCR7,44396,0.5564465267141184,0.92545104
child,restored,CD4 T Cells,TCF7,44396,0.554284169745022,0.8861008
child,restored,CD4 T Cells,LEF1,44396,0.521398324173349,0.83743197
child,restored,CD4 T Cells,CD8A,44396,0.037165510406342916,0.049424224
child,restored,CD4 T Cells,CD8B,44396,0.07428597170916298,0.10707419
child,restored,CD4 T Cells,NKG7,44396,0.18400306333903954,0.25568557
child,restored,CD4 T Cells,CCL5,44396,0.11737543922875934,0.17840315
child,restored,CD4 T Cells,GZMK,44396,0.0248445805928462,0.04155034
child,restored,CD4 T Cells,PRF1,44396,0.037931345166231194,0.050179303
child,restored,CD4 T Cells,GNLY,44396,0.22285791512748895,0.31857476
child,restored,CD4 T Cells,MS4A1,44396,0.018695377961978555,0.025353648
child,restored,CD4 T Cells,CD79A,44396,0.055004955401387515,0.073015966
child,restored,CD4 T Cells,CD79B,44396,0.06773132714658978,0.090760395
child,restored,CD4 T Cells,LYZ,44396,0.32484908550319846,0.49583322
child,restored,CD4 T Cells,LST1,44396,0.14514821155059016,0.20077752
child,restored,CD4 T Cells,FCN1,44396,0.07277682674114785,0.09950412
child,restored,CD4 T Cells,S100A8,44396,0.3169880169384629,0.49164146
child,restored,CD4 T Cells,S100A9,44396,0.4086854671592035,0.66531086
child,restored,CD4 T Cells,PPBP,44396,0.0173889539598162,0.02329653
child,restored,CD4 T Cells,PF4,44396,0.010834309397242994,0.014801773
child,restored,CD4 T Cells,HBA1,44396,0.11003243535453644,0.20047234
