cohort,sample,review_group,label,cells,n_genes_by_counts_median,total_counts_median,pct_counts_mt_median,doublet_score_median,ribosomal_percent_retained_genes_median,reference_probability_median,nonT_multimarker_flag_fraction,CD8_both_detected_fraction,same_restoration_gate_fraction,p08_fraction
child,GSM4029901_JB17006,other,IFN-stimulated T Cells,2,1195.0,4009.5,2.398536557841285,0.07876843600671571,43.966038499999996,0.9797045041135137,0.5,1.0,1.0,1.0
child,GSM4029901_JB17006,other,NK Cells,123,1015.0,2411.0,2.8389444949954505,0.0264855687606112,25.451807,0.97945388758871,0.3902439024390244,0.016260162601626018,0.008130081300813009,0.7073170731707317
child,GSM4029901_JB17006,other,Non-classical Monocytes,525,1278.0,3720.0,3.858784893267652,0.053071253071253,25.17647,0.94227165786463,1.0,0.0038095238095238095,0.0,0.7619047619047619
child,GSM4029901_JB17006,other,Platelets,27,1126.0,3458.0,3.588860178007465,0.0570987654320987,22.217484,0.7637929505195509,1.0,0.037037037037037035,0.07407407407407407,0.4444444444444444
child,GSM4029901_JB17006,other,RBCs,1,305.0,4970.0,0.0804828973843058,0.1841289522628642,4.472141,0.2816388704069595,1.0,0.0,0.0,0.0
child,GSM4029901_JB17006,other,cDCs,60,1870.5,6650.0,3.0407278689995105,0.0664018161180476,29.062621,0.6861121799719303,0.9833333333333333,0.0,0.0,0.4
child,GSM4029901_JB17006,other,pDCs,8,1664.5,4681.5,2.6362874839935664,0.09905053762892116,31.141638999999998,0.426647867651775,0.625,0.125,0.0,0.375
child,GSM4029901_JB17006,restored,CD4 T Cells,181,946.0,3068.0,2.270189802754001,0.0476629058254662,47.87308,0.9014703890914412,0.4088397790055249,0.016574585635359115,1.0,0.6464088397790055
child,GSM4029901_JB17006,restored,CD8 T Cells,663,1034.0,3669.0,2.6708788052843198,0.0336950314106225,48.535854,0.9670657383853164,0.5203619909502263,0.5414781297134238,1.0,0.8627450980392157
child,GSM4029902_JB17007,excluded_unrestored,Ribosomal/Low-quality,502,863.5,2433.5,1.4800812441885522,0.0518731988472622,40.7857135,0.8764250161502234,0.33067729083665337,0.08366533864541832,0.0,0.5597609561752988
child,GSM4029902_JB17007,original_T,CD4 T Cells,326,1103.5,3051.5,1.317731075591705,0.0709495234733498,36.3725635,0.7691720129997655,0.3987730061349693,0.012269938650306749,0.6134969325153374,0.4601226993865031
child,GSM4029902_JB17007,original_T,CD8 T Cells,447,1077.0,2586.0,2.3082942097026606,0.0267965895249695,25.835396,0.5879056586556118,0.27740492170022374,0.37360178970917224,0.378076062639821,0.2930648769574944
child,GSM4029902_JB17007,other,B Cells,401,912.0,2515.0,1.8531228551818808,0.0131620181761203,36.39576,0.776686903366288,0.9476309226932669,0.0024937655860349127,0.0024937655860349127,0.46384039900249374
child,GSM4029902_JB17007,other,Classical Monocytes,559,1166.0,3024.0,3.266331658291457,0.0267965895249695,17.743288,0.9511372200932052,1.0,0.0,0.0,0.7924865831842576
child,GSM4029902_JB17007,other,IFN-stimulated T Cells,40,960.5,2648.5,1.160993873383254,0.059117923052862,41.5832665,0.9695409933155112,0.3,0.0,0.775,0.725
child,GSM4029902_JB17007,other,NK Cells,188,1223.0,2698.5,2.1691226836914144,0.0246671887235708,19.712094999999998,0.9869500908526249,0.3404255319148936,0.02127659574468085,0.015957446808510637,0.6914893617021277
child,GSM4029902_JB17007,other,Non-classical Monocytes,301,1584.0,4731.0,2.139346631974559,0.0290893760539629,18.663504,0.9933699224893032,1.0,0.0033222591362126247,0.0,0.8803986710963455
child,GSM4029902_JB17007,other,Plasma Cells,2,2980.5,14096.0,3.5995601246970517,0.2126127374109329,30.521285,0.0344913380091492,1.0,0.0,0.0,0.0
child,GSM4029902_JB17007,other,Platelets,41,738.0,1775.0,1.9900497512437807,0.1068883610451306,3.2463768,0.4201908755785533,0.975609756097561,0.024390243902439025,0.024390243902439025,0.2682926829268293
child,GSM4029902_JB17007,other,RBCs,21,299.0,5313.0,0.0722152012998736,0.08203125,4.961832,0.2180585802328262,0.42857142857142855,0.0,0.047619047619047616,0.0
child,GSM4029902_JB17007,other,cDCs,34,2394.0,8989.5,2.4636407917404544,0.08415049741798294,23.149469,0.797985396483458,1.0,0.029411764705882353,0.0,0.5
child,GSM4029902_JB17007,other,pDCs,9,1958.0,6566.0,1.5686871763630827,0.0541580349215744,31.463375,0.9487852519271064,0.8888888888888888,0.0,0.0,0.6666666666666666
