cohort,sample,review_group,label,cells,n_genes_by_counts_median,total_counts_median,pct_counts_mt_median,doublet_score_median,ribosomal_percent_retained_genes_median,reference_probability_median,nonT_multimarker_flag_fraction,CD8_both_detected_fraction,same_restoration_gate_fraction,p08_fraction
child,GSM4029899_JB17004,other,RBCs,3,712.0,1548.0,2.8142589118198877,0.0394969542149734,41.988228,0.0523847466663745,0.3333333333333333,0.0,0.0,0.0
child,GSM4029899_JB17004,other,cDCs,53,2234.0,7494.0,2.42798353909465,0.086491739552964,22.250317,0.8722095485659136,1.0,0.0,0.0,0.6415094339622641
child,GSM4029899_JB17004,other,pDCs,42,1693.5,4849.5,1.703323054193254,0.0582675876770591,29.515857500000003,0.9921029703826603,0.6666666666666666,0.0,0.0,0.9761904761904762
child,GSM4029899_JB17004,restored,CD4 T Cells,693,859.0,2320.0,1.5472779369627507,0.0498652291105121,41.757763,0.9750275516636628,0.4660894660894661,0.007215007215007215,1.0,0.8643578643578643
child,GSM4029899_JB17004,restored,CD8 T Cells,560,1060.0,3083.5,1.776068631521539,0.0482060312568787,42.590412,0.9538740691826451,0.5660714285714286,0.5142857142857142,1.0,0.8178571428571428
child,GSM4029900_JB17005,excluded_unrestored,Ribosomal/Low-quality,650,834.0,2513.0,3.4379179337779933,0.0521008403361344,45.2195645,0.9381572253808175,0.3,0.13384615384615384,0.0,0.6307692307692307
child,GSM4029900_JB17005,original_T,CD4 T Cells,439,1033.0,3299.0,3.0221262817053427,0.0645264847512038,42.012238,0.8124300407710283,0.38724373576309795,0.02050113895216401,0.5763097949886105,0.5148063781321185
child,GSM4029900_JB17005,original_T,CD8 T Cells,243,906.0,2322.0,3.643525356967011,0.0285714285714285,33.70253,0.5794808314993432,0.2345679012345679,0.2880658436213992,0.32098765432098764,0.3786008230452675
child,GSM4029900_JB17005,other,B Cells,389,799.0,2293.0,4.120982986767486,0.0138846035174328,39.782288,0.8675521694090617,0.9074550128534704,0.0,0.0,0.6118251928020566
child,GSM4029900_JB17005,other,Classical Monocytes,879,1020.0,2656.0,6.598984771573605,0.0321750321750321,21.715914,0.9509230643576037,1.0,0.0,0.0011376564277588168,0.7792946530147895
child,GSM4029900_JB17005,other,IFN-stimulated T Cells,1,1070.0,3545.0,2.538787023977433,0.0543259557344064,42.21971,0.7327500091827824,0.0,0.0,0.0,0.0
