cohort,review_group,label,metric,quantile,value
child,other,IFN-stimulated T Cells,pct_counts_mt,0.25,1.235200557808451
child,other,IFN-stimulated T Cells,pct_counts_mt,0.5,1.745796674342616
child,other,IFN-stimulated T Cells,pct_counts_mt,0.75,2.426689424828103
child,other,IFN-stimulated T Cells,pct_counts_mt,0.9,3.3088176307523085
child,other,IFN-stimulated T Cells,pct_counts_mt,0.95,3.9335492790728885
child,other,IFN-stimulated T Cells,doublet_score,0.1,0.0270617522190821
child,other,IFN-stimulated T Cells,doublet_score,0.25,0.0358075345020514
child,other,IFN-stimulated T Cells,doublet_score,0.5,0.04960715449897625
child,other,IFN-stimulated T Cells,doublet_score,0.75,0.07489397660441513
child,other,IFN-stimulated T Cells,doublet_score,0.9,0.10829881461052815
child,other,IFN-stimulated T Cells,doublet_score,0.95,0.1362162162162161
child,other,IFN-stimulated T Cells,ribosomal_percent_retained_genes,0.1,32.9715336
child,other,IFN-stimulated T Cells,ribosomal_percent_retained_genes,0.25,37.91796425
child,other,IFN-stimulated T Cells,ribosomal_percent_retained_genes,0.5,43.3437435
child,other,IFN-stimulated T Cells,ribosomal_percent_retained_genes,0.75,48.47432725
child,other,IFN-stimulated T Cells,ribosomal_percent_retained_genes,0.9,52.624501800000004
child,other,IFN-stimulated T Cells,ribosomal_percent_retained_genes,0.95,55.172603699999996
child,other,IFN-stimulated T Cells,reference_probability,0.1,0.41079392804139464
child,other,IFN-stimulated T Cells,reference_probability,0.25,0.6821440563865009
child,other,IFN-stimulated T Cells,reference_probability,0.5,0.9208856051531784
child,other,IFN-stimulated T Cells,reference_probability,0.75,0.9837682286155482
child,other,IFN-stimulated T Cells,reference_probability,0.9,0.9963519131874164
child,other,IFN-stimulated T Cells,reference_probability,0.95,0.9983518748575704
child,other,NK Cells,n_genes_by_counts,0.1,804.0
child,other,NK Cells,n_genes_by_counts,0.25,919.0
child,other,NK Cells,n_genes_by_counts,0.5,1058.0
child,other,NK Cells,n_genes_by_counts,0.75,1248.0
child,other,NK Cells,n_genes_by_counts,0.9,1526.0
child,other,NK Cells,n_genes_by_counts,0.95,1761.0
child,other,NK Cells,total_counts,0.1,1808.0
child,other,NK Cells,total_counts,0.25,2121.25
child,other,NK Cells,total_counts,0.5,2521.0
child,other,NK Cells,total_counts,0.75,3115.0
child,other,NK Cells,total_counts,0.9,4133.0
child,other,NK Cells,total_counts,0.95,5064.75
child,other,NK Cells,pct_counts_mt,0.1,1.7729748015890836
child,other,NK Cells,pct_counts_mt,0.25,2.3356925024826003
child,other,NK Cells,pct_counts_mt,0.5,3.096793591061626
child,other,NK Cells,pct_counts_mt,0.75,4.018062080300142
child,other,NK Cells,pct_counts_mt,0.9,5.0379514139182024
child,other,NK Cells,pct_counts_mt,0.95,5.817356480744882
child,other,NK Cells,doublet_score,0.1,0.0081583813771347
child,other,NK Cells,doublet_score,0.25,0.0135376219960121
child,other,NK Cells,doublet_score,0.5,0.0228083785880527
child,other,NK Cells,doublet_score,0.75,0.0399257195914577
child,other,NK Cells,doublet_score,0.9,0.076300578034682
child,other,NK Cells,doublet_score,0.95,0.1083546151039766
child,other,NK Cells,ribosomal_percent_retained_genes,0.1,16.972677
child,other,NK Cells,ribosomal_percent_retained_genes,0.25,19.83326925
child,other,NK Cells,ribosomal_percent_retained_genes,0.5,23.3355525
child,other,NK Cells,ribosomal_percent_retained_genes,0.75,28.06404225
child,other,NK Cells,ribosomal_percent_retained_genes,0.9,33.682536
child,other,NK Cells,ribosomal_percent_retained_genes,0.95,37.02520775
child,other,NK Cells,reference_probability,0.1,0.4368159648683825
child,other,NK Cells,reference_probability,0.25,0.8483561517498723
child,other,NK Cells,reference_probability,0.5,0.9944188688859824
child,other,NK Cells,reference_probability,0.75,0.9996834482384055
child,other,NK Cells,reference_probability,0.9,0.999969714035622
child,other,NK Cells,reference_probability,0.95,0.9999923925421441
child,other,Non-classical Monocytes,n_genes_by_counts,0.1,944.0
child,other,Non-classical Monocytes,n_genes_by_counts,0.25,1230.0
child,other,Non-classical Monocytes,n_genes_by_counts,0.5,1566.0
child,other,Non-classical Monocytes,n_genes_by_counts,0.75,1889.0
child,other,Non-classical Monocytes,n_genes_by_counts,0.9,2209.0
child,other,Non-classical Monocytes,n_genes_by_counts,0.95,2449.0
child,other,Non-classical Monocytes,total_counts,0.1,2430.0
child,other,Non-classical Monocytes,total_counts,0.25,3580.0
child,other,Non-classical Monocytes,total_counts,0.5,4991.0
child,other,Non-classical Monocytes,total_counts,0.75,6515.0
child,other,Non-classical Monocytes,total_counts,0.9,8255.0
child,other,Non-classical Monocytes,total_counts,0.95,9606.0
child,other,Non-classical Monocytes,pct_counts_mt,0.1,1.7009345794392523
child,other,Non-classical Monocytes,pct_counts_mt,0.25,2.3355636914531
child,other,Non-classical Monocytes,pct_counts_mt,0.5,3.379867744305657
child,other,Non-classical Monocytes,pct_counts_mt,0.75,4.750593824228028
child,other,Non-classical Monocytes,pct_counts_mt,0.9,6.269925611052073
child,other,Non-classical Monocytes,pct_counts_mt,0.95,7.322264793529161
child,other,Non-classical Monocytes,doublet_score,0.1,0.0138292799237005
child,other,Non-classical Monocytes,doublet_score,0.25,0.020440881763527
child,other,Non-classical Monocytes,doublet_score,0.5,0.0309278350515463
child,other,Non-classical Monocytes,doublet_score,0.75,0.0479744136460554
child,other,Non-classical Monocytes,doublet_score,0.9,0.0725478816018572
child,other,Non-classical Monocytes,doublet_score,0.95,0.0964879852125693
child,other,Non-classical Monocytes,ribosomal_percent_retained_genes,0.1,16.18864
child,other,Non-classical Monocytes,ribosomal_percent_retained_genes,0.25,18.894737
child,other,Non-classical Monocytes,ribosomal_percent_retained_genes,0.5,22.619926
child,other,Non-classical Monocytes,ribosomal_percent_retained_genes,0.75,26.398989
child,other,Non-classical Monocytes,ribosomal_percent_retained_genes,0.9,29.610266
child,other,Non-classical Monocytes,ribosomal_percent_retained_genes,0.95,31.299393
child,other,Non-classical Monocytes,reference_probability,0.1,0.7029700719152151
child,other,Non-classical Monocytes,reference_probability,0.25,0.8979037286321347
child,other,Non-classical Monocytes,reference_probability,0.5,0.9807064912784164
child,other,Non-classical Monocytes,reference_probability,0.75,0.9974473982278296
child,other,Non-classical Monocytes,reference_probability,0.9,0.999586970161758
child,other,Non-classical Monocytes,reference_probability,0.95,0.9998689418948884
child,other,Plasma Cells,n_genes_by_counts,0.1,1246.0
child,other,Plasma Cells,n_genes_by_counts,0.25,1901.0
child,other,Plasma Cells,n_genes_by_counts,0.5,2519.0
child,other,Plasma Cells,n_genes_by_counts,0.75,3194.0
child,other,Plasma Cells,n_genes_by_counts,0.9,4049.5999999999995
child,other,Plasma Cells,n_genes_by_counts,0.95,4543.5999999999985
child,other,Plasma Cells,total_counts,0.1,3546.6
child,other,Plasma Cells,total_counts,0.25,7057.0
child,other,Plasma Cells,total_counts,0.5,10759.0
child,other,Plasma Cells,total_counts,0.75,16385.0
child,other,Plasma Cells,total_counts,0.9,24065.8
child,other,Plasma Cells,total_counts,0.95,28577.8
child,other,Plasma Cells,pct_counts_mt,0.1,1.8463090941053721
child,other,Plasma Cells,pct_counts_mt,0.25,2.6153157187639944
child,other,Plasma Cells,pct_counts_mt,0.5,3.729146221786065
child,other,Plasma Cells,pct_counts_mt,0.75,5.753884922301554
child,other,Plasma Cells,pct_counts_mt,0.9,9.946259706961028
child,other,Plasma Cells,pct_counts_mt,0.95,14.838673824829645
child,other,Plasma Cells,doublet_score,0.1,0.037037037037037
child,other,Plasma Cells,doublet_score,0.25,0.0578257517347725
child,other,Plasma Cells,doublet_score,0.5,0.0866396761133602
child,other,Plasma Cells,doublet_score,0.75,0.1175510204081632
child,other,Plasma Cells,doublet_score,0.9,0.1583411875589067
child,other,Plasma Cells,doublet_score,0.95,0.19069206357258106
child,other,Plasma Cells,ribosomal_percent_retained_genes,0.1,15.3741334
child,other,Plasma Cells,ribosomal_percent_retained_genes,0.25,21.126059
child,other,Plasma Cells,ribosomal_percent_retained_genes,0.5,26.159449
child,other,Plasma Cells,ribosomal_percent_retained_genes,0.75,30.661419
child,other,Plasma Cells,ribosomal_percent_retained_genes,0.9,35.2031268
child,other,Plasma Cells,ribosomal_percent_retained_genes,0.95,37.75959299999999
child,other,Plasma Cells,reference_probability,0.1,0.20409703490589703
child,other,Plasma Cells,reference_probability,0.25,0.4472714122536404
child,other,Plasma Cells,reference_probability,0.5,0.7951291567208912
child,other,Plasma Cells,reference_probability,0.75,0.949018390410839
child,other,Plasma Cells,reference_probability,0.9,0.9895074321501626
child,other,Plasma Cells,reference_probability,0.95,0.995282228057126
child,other,Platelets,n_genes_by_counts,0.1,593.1
child,other,Platelets,n_genes_by_counts,0.25,897.5
child,other,Platelets,n_genes_by_counts,0.5,1329.5
child,other,Platelets,n_genes_by_counts,0.75,1834.75
child,other,Platelets,n_genes_by_counts,0.9,2370.8
child,other,Platelets,n_genes_by_counts,0.95,2814.2000000000007
child,other,Platelets,total_counts,0.1,1446.0
child,other,Platelets,total_counts,0.25,2413.5
child,other,Platelets,total_counts,0.5,3959.5
child,other,Platelets,total_counts,0.75,6304.0
child,other,Platelets,total_counts,0.9,9286.7
child,other,Platelets,total_counts,0.95,11873.650000000003
child,other,Platelets,pct_counts_mt,0.1,1.6506203187107271
child,other,Platelets,pct_counts_mt,0.25,2.7163155408720345
child,other,Platelets,pct_counts_mt,0.5,4.40581451547196
child,other,Platelets,pct_counts_mt,0.75,6.197543613753877
child,other,Platelets,pct_counts_mt,0.9,8.442883675624987
child,other,Platelets,pct_counts_mt,0.95,10.2585734412942
child,other,Platelets,doublet_score,0.1,0.0249957490222751
child,other,Platelets,doublet_score,0.25,0.0394160583941605
child,other,Platelets,doublet_score,0.5,0.0637954239569313
child,other,Platelets,doublet_score,0.75,0.1176145775814467
child,other,Platelets,doublet_score,0.9,0.2021807695926399
child,other,Platelets,doublet_score,0.95,0.258368009664227
child,other,Platelets,ribosomal_percent_retained_genes,0.1,3.64409378
child,other,Platelets,ribosomal_percent_retained_genes,0.25,15.6024095
child,other,Platelets,ribosomal_percent_retained_genes,0.5,22.1137895
child,other,Platelets,ribosomal_percent_retained_genes,0.75,27.875017
child,other,Platelets,ribosomal_percent_retained_genes,0.9,34.530007000000005
child,other,Platelets,ribosomal_percent_retained_genes,0.95,44.78210970000001
child,other,Platelets,reference_probability,0.1,0.129948309160167
child,other,Platelets,reference_probability,0.25,0.4072717150705717
child,other,Platelets,reference_probability,0.5,0.7772900052880304
child,other,Platelets,reference_probability,0.75,0.9725826267561999
child,other,Platelets,reference_probability,0.9,0.9964778195889145
child,other,Platelets,reference_probability,0.95,0.9990534590122742
child,other,RBCs,n_genes_by_counts,0.1,217.0
child,other,RBCs,n_genes_by_counts,0.25,253.0
child,other,RBCs,n_genes_by_counts,0.5,328.0
child,other,RBCs,n_genes_by_counts,0.75,466.0
child,other,RBCs,n_genes_by_counts,0.9,708.0
child,other,RBCs,n_genes_by_counts,0.95,1078.9
child,other,RBCs,total_counts,0.1,3214.4
child,other,RBCs,total_counts,0.25,4135.0
child,other,RBCs,total_counts,0.5,5668.5
child,other,RBCs,total_counts,0.75,7942.75
child,other,RBCs,total_counts,0.9,9943.800000000001
child,other,RBCs,total_counts,0.95,11125.050000000001
child,other,RBCs,pct_counts_mt,0.1,0.058166627767602445
child,other,RBCs,pct_counts_mt,0.25,0.10354754955850162
child,other,RBCs,pct_counts_mt,0.5,0.16542600680819514
child,other,RBCs,pct_counts_mt,0.75,0.2666505275401149
child,other,RBCs,pct_counts_mt,0.9,1.4711369936733816
child,other,RBCs,pct_counts_mt,0.95,2.8751844633993886
child,other,RBCs,doublet_score,0.1,0.0037606837606837
child,other,RBCs,doublet_score,0.25,0.0072322351050396
child,other,RBCs,doublet_score,0.5,0.0159601853440878
child,other,RBCs,doublet_score,0.75,0.05455746862430945
child,other,RBCs,doublet_score,0.9,0.087378640776699
child,other,RBCs,doublet_score,0.95,0.1179705499089516
child,other,RBCs,ribosomal_percent_retained_genes,0.1,4.646872
child,other,RBCs,ribosomal_percent_retained_genes,0.25,5.81511935
child,other,RBCs,ribosomal_percent_retained_genes,0.5,8.413282
child,other,RBCs,ribosomal_percent_retained_genes,0.75,11.85963575
child,other,RBCs,ribosomal_percent_retained_genes,0.9,30.558545600000002
child,other,RBCs,ribosomal_percent_retained_genes,0.95,47.773325
child,other,RBCs,reference_probability,0.1,0.06564308031756423
child,other,RBCs,reference_probability,0.25,0.11034073454655685
child,other,RBCs,reference_probability,0.5,0.2012331764100879
child,other,RBCs,reference_probability,0.75,0.3476797336815689
child,other,RBCs,reference_probability,0.9,0.5997335824404346
child,other,RBCs,reference_probability,0.95,0.7978665198792392
child,other,cDCs,n_genes_by_counts,0.1,1685.6
child,other,cDCs,n_genes_by_counts,0.25,2018.5
child,other,cDCs,n_genes_by_counts,0.5,2330.0
child,other,cDCs,n_genes_by_counts,0.75,2653.0
child,other,cDCs,n_genes_by_counts,0.9,3009.8
child,other,cDCs,n_genes_by_counts,0.95,3228.0
child,other,cDCs,total_counts,0.1,5688.8
child,other,cDCs,total_counts,0.25,7627.0
child,other,cDCs,total_counts,0.5,9604.0
child,other,cDCs,total_counts,0.75,11820.0
child,other,cDCs,total_counts,0.9,14387.6
child,other,cDCs,total_counts,0.95,16176.199999999997
child,other,cDCs,pct_counts_mt,0.1,2.1371116691473477
child,other,cDCs,pct_counts_mt,0.25,2.6628354387512534
child,other,cDCs,pct_counts_mt,0.5,3.292586750788644
child,other,cDCs,pct_counts_mt,0.75,4.091171918889985
child,other,cDCs,pct_counts_mt,0.9,5.0220393491465725
child,other,cDCs,pct_counts_mt,0.95,5.7314770798534225
child,other,cDCs,doublet_score,0.1,0.04750599449394627
child,other,cDCs,doublet_score,0.25,0.0613253708954032
child,other,cDCs,doublet_score,0.5,0.079054054054054
child,other,cDCs,doublet_score,0.75,0.1073124406457739
child,other,cDCs,doublet_score,0.9,0.1527041357370095
child,other,cDCs,doublet_score,0.95,0.18935541477103596
child,other,cDCs,ribosomal_percent_retained_genes,0.1,22.2381806
child,other,cDCs,ribosomal_percent_retained_genes,0.25,26.304060999999997
child,other,cDCs,ribosomal_percent_retained_genes,0.5,30.764582
child,other,cDCs,ribosomal_percent_retained_genes,0.75,34.0667925
